Background	FLAGS	OMIM	HGMD	WES
MS4A14		FCGR3A		
NOX5		POU6F2		
PCDHGA1				
PCDHGB7				
PLCD3				
QSOX1				
RNF207				
RNF31				
SARS2				
SDAD1				
SERPINB10				
SLC22A1				
SLC34A1				
SLC39A5				
SMARCA4				
SMARCAL1				
SP110				
SPECC1L				
TMEM260				
TMEM67				
TRIM42				
TRPV2				
TSHR				
TYR				
UGT1A10				
USP31				
USP38				
USP45				
WNK3				
XRN2				
ZBTB11				
ZMYND15				
ZNF655				
ZNF76				
ZP4				
ACADVL				
ACSBG2				
ADAM30				
ADCK1				
ADD1				
ANXA6				
ARFGEF1				
ARHGEF26				
ASAP2				
ATIC				
ATP13A3				
ATP2B2				
BANK1				
BBS1				
BMPER				
BTN3A3				
CACNB2				
CADPS				
CD22				
CDH2				
CEP95				
CHRD				
CHRND				
CLCNKA				
COG6				
CPSF3L				
DDX24				
DDX51				
DGCR2				
DIS3L2				
DPEP1				
DSTYK				
EFTUD1				
EXTL1				
FBXO38				
FCRL6				
FSD2				
FSTL5				
GLB1L2				
GLTSCR1L				
GPSM1				
HADHA				
HERC5				
HIF3A				
IL12RB2				
KIAA0226L				
KLHDC7A				
LATS1				
LATS2				
LNPEP				
LRWD1				
MAP1S				
MGAT4B				
MGRN1				
MLK4				
MMRN2				
MOV10				
NLRP6				
NPNT				
NSMAF				
PCDHGA4				
PGBD1				
PNKP				
POLR3B				
PUS7L				
RBBP8NL				
RBL2				
RECK				
SCNN1B				
SETDB1				
SH2D3A				
SLC15A1				
SLC39A4				
SLC9A4				
SLCO1B1				
SPAG1				
SPDL1				
SUSD1				
TACC1				
TARS				
TLR2				
TMCO3				
TTC18				
VEPH1				
VPS18				
VWA5B1				
WDR63				
ZCCHC14				
ZHX3				
ZNF280D				
ZNF446				
ZNF500				
ZNF571				
ZNF616				
ZW10				
ABL2				
ABLIM2				
ABTB2				
ADAM23				
AOAH				
AQR				
ATMIN				
ATP6V0A2				
BPI				
BRPF1				
BUB1				
BUB1B				
C17orf80				
CASC1				
CBL				
CCSER2				
CEP97				
CES3				
CES5A				
CHRNA4				
CLPB				
COG4				
CPD				
CR1L				
DLGAP5				
DNMT3B				
DZIP1				
EFHC1				
EPHX2				
F11				
FAM151A				
GAB4				
GALNS				
GALNT15				
GPC1				
GPR111				
GPR78				
HBS1L				
HIPK2				
ISM2				
ITFG3				
ITPKB				
KCNH3				
KIAA1841				
KIFC3				
KIRREL3				
KRT85				
LIPC				
LOXL3				
LPIN1				
LPO				
LRRC56				
MAATS1				
MAP3K13				
MAPK12				
MARCO				
MCM5				
MORC1				
MTIF2				
MTMR4				
MTO1				
MTTP				
MVD				
NAALADL2				
NEK9				
NSUN2				
OR4A15				
PCDHB5				
PIGZ				
PKN1				
PLIN3				
PNPT1				
PPP4R4				
PRKCSH				
PROSER1				
PRR14L				
R3HDM1				
RABGGTA				
RBM15				
RECQL				
RIOK1				
RTKN				
SEC23B				
SEC24B				
SEMA6D				
SENP6				
SFMBT2				
SIGLEC10				
SLC39A12				
SNCAIP				
SORCS3				
SRPK3				
STRC				
SWT1				
TGM7				
TKTL2				
TLR5				
TNFRSF8				
TRAF3IP1				
TUB				
TXNRD2				
UBE3C				
UGT2B11				
WWP2				
ZKSCAN7				
ZMYND8				
ZNF28				
ZNF333				
ZNF440				
ZNF750				
ZNF77				
ZP2				
ZSWIM4				
ADCK4				
ADNP				
AK7				
AMER1				
ANKRD28				
ANKRD6				
ANXA11				
AOC3				
AP1B1				
AP4B1				
ASAH1				
ASB2				
ATP8A2				
BAG6				
BRD8				
C9				
CAPN1				
CAPN2				
CENPC				
CEP89				
CLASP2				
CNBD2				
COL13A1				
CRNKL1				
DGAT1				
E2F7				
ECD				
EFCAB12				
ELAC2				
EPS8L2				
ERICH1				
ERMARD				
EXOC3L4				
EXTL3				
FAM120A				
FAM71A				
FGFR2				
FMNL2				
FRRS1				
GARNL3				
GBP7				
GOLGA1				
GPRIN1				
GRM1				
GSG2				
GTPBP4				
HIST1H1C				
HJURP				
HTR3A				
KIAA1524				
KIAA1731				
KIFC2				
KLHL40				
KRT37				
KRT76				
KRT78				
LARS2				
MEP1B				
MLH1				
MSH4				
MYO1D				
NDUFS1				
NEK8				
NFATC4				
NNT				
OIT3				
OLFML2A				
OSBPL6				
PAN2				
PANK4				
PLCB1				
PLCL1				
PLEKHA5				
PNPLA8				
POLK				
POMT2				
PPP1R15A				
PRODH2				
PSG5				
PTK2				
RAI14				
REST				
RIC8A				
SEMG2				
SLCO2B1				
SMG7				
SPATA18				
SRRM1				
STOX1				
SVOPL				
TBC1D17				
TCEB3				
TCHP				
TMC1				
TRMT44				
TTC12				
TXLNB				
UBA6				
UBQLN3				
UGT1A4				
UNC5C				
USP13				
VAV3				
VPS33B				
WDR25				
WDR4				
WDR91				
XPO6				
ZC3H7A				
ZNF33B				
ZNF782				
ZNF786				
ZNF792				
ABTB1				
ADAM20				
AFF2				
AKAP1				
ALG12				
ARHGAP10				
ARHGAP22				
ARHGEF4				
ARPC4-TTLL3				
ATF7IP2				
BCO2				
BRF1				
C17orf66				
CCDC74A				
CCDC77				
CHRNG				
CLCN6				
CLHC1				
CNGA2				
COL10A1				
CPT1A				
CYP4A22				
DSE				
EME1				
ENTPD4				
EPHA6				
EPHB1				
FAM214A				
FREM3				
GFM2				
GLTSCR2				
GPR56				
GPT				
GRM2				
GTF3C2				
GYS2				
HTR3C				
ICAM1				
IL31RA				
KATNAL2				
KIAA1456				
KIF22				
KRT4				
KRT72				
KRT79				
LBP				
LEPREL2				
LINS				
LMNB2				
LRCH1				
LRP8				
LRRC66				
LZTS1				
MCCC1				
MIEF2				
MIIP				
MSH5				
MYLK3				
NCAM1				
NCAPH2				
NVL				
PARP3				
PASD1				
PCDH9				
PCDHB15				
PCDHB4				
PCDHGB1				
PCDHGB4				
PCDHGC5				
PDE1C				
PHC2				
PHF2				
PHTF1				
PLEKHM2				
PLOD2				
PLXNC1				
PMPCB				
PTGIS				
PTPRE				
RPN2				
RSPH4A				
SAMD15				
SEMA4F				
SH3BP2				
SHC2				
SLC22A14				
SLC22A9				
SLC26A6				
SLC44A4				
SLC8B1				
SPIDR				
ST14				
TCHHL1				
TEKT4				
TLL1				
TOPORS				
TP53BP2				
TSC1				
TULP1				
UGT2B4				
USP8				
VPS54				
WAPAL				
WDR41				
XPO5				
ZNF197				
ZNF432				
ZNF607				
ZNF618				
ACSS2				
AGT				
ALDH3B2				
ALOX12B				
AMPH				
ARMC2				
ASPG				
B4GALNT4				
BBS2				
BICC1				
BPIFB3				
BRINP1				
BRINP2				
BTNL8				
C11orf63				
C14orf80				
C8A				
CCDC63				
CCP110				
CD96				
CNDP1				
DCAF13				
DDX52				
DNAJC16				
DZANK1				
FAM161A				
FMNL1				
FRMPD4				
FSCN2				
GDPD5				
GRK4				
HSP90AA1				
IFI44L				
IFRD2				
IFT80				
IL17RC				
IL27RA				
INTS8				
ITGB5				
LRRC15				
LRRC40				
LRRC7				
MFSD10				
MFSD7				
MKS1				
MLXIP				
MPP4				
MTG2				
MUTYH				
NEDD9				
NFKB1				
NOC3L				
NPSR1				
NRXN3				
NTRK3				
PCDHB8				
PCDHGA3				
PDE5A				
PDE9A				
PDGFRL				
PHC3				
PHF20L1				
PKD2				
POLI				
POLL				
POLR2A				
PRAMEF12				
RAD54B				
RAPGEF2				
RHPN1				
RNF43				
RPRD2				
RUSC1				
SCEL				
SCLY				
SH3D19				
SIK1				
SLC12A2				
SLC47A1				
SLC5A10				
SLC5A4				
SLCO2A1				
SLCO6A1				
STOX2				
STRIP2				
SYDE2				
SYT15				
TGFBRAP1				
TLE2				
TNS4				
TRPV6				
TTC23				
TTLL10				
TUBAL3				
TYRO3				
UGT2A3				
UIMC1				
WHSC1				
XYLB				
ZFP64				
ZNF43				
ZNF451				
ZNF554				
ZNF665				
ACSS1				
ADCK2				
ADSSL1				
AP3B1				
APPL2				
ARFGAP1				
BCAS1				
BMPR2				
BPIFB2				
BRD4				
CARS2				
CBX2				
CES2				
CIZ1				
COL23A1				
COL9A2				
CRISPLD2				
CWC22				
CXorf22				
DCAF11				
DDX27				
DFNA5				
DPP8				
DPY19L4				
ECE1				
ENPP1				
EPB41				
EXT2				
FAM114A1				
GABRR2				
GAREM				
GBE1				
GBP2				
GBP3				
GCAT				
GGA3				
GPR97				
GPRASP1				
GRAMD1C				
GSDMC				
GTF2F1				
HCLS1				
HIPK4				
IDE				
IL1RL1				
IL6ST				
KCNH5				
KIAA1324L				
KIF18B				
KLHL30				
KRT15				
LETM1				
LRP12				
LY9				
MAP3K11				
MAP7D3				
MATN4				
MAVS				
MCTP1				
METTL17				
MLXIPL				
MPHOSPH8				
MUM1				
NAA16				
NEFM				
OGFR				
P4HA2				
PACS2				
PCDHGB2				
PDE4A				
PIK3R5				
PNPLA3				
PPIP5K2				
PRODH				
PROS1				
QSOX2				
RAB11FIP5				
RBM27				
SCARA3				
SECISBP2				
SEMA3A				
SENP7				
SH3D21				
SH3RF1				
SH3RF3				
SLC22A2				
SLC2A7				
SLC44A2				
SLCO5A1				
SMC1B				
SNAP91				
TIGD6				
TOP2B				
TRIB3				
TRIM36				
TTLL9				
UBE4A				
UGT1A3				
UGT2A2				
UPF2				
UVRAG				
VPS41				
WDR24				
ZACN				
ZIM2				
ZNF132				
ZNF212				
ZNF221				
ZNF438				
ZNF470				
ZNF491				
ZNF615				
AATF				
ADCY2				
ALPPL2				
ALS2CR11				
AP5B1				
APBB1				
APLP2				
ARHGAP12				
ARHGAP28				
ARHGAP35				
ARID5B				
ARMC3				
BAIAP2L1				
BEST1				
BICD2				
BTBD16				
BUD13				
C2orf54				
C3orf67				
CAPN7				
CCDC114				
CCSER1				
CDRT1				
CEP85				
CHPF				
CLCA4				
CLCN7				
CLPTM1				
CNST				
CPNE3				
CREB3L3				
CTNNAL1				
CYP2A13				
CYP2A7				
DDX59				
DHX32				
E2F8				
EDEM3				
ELFN2				
EMILIN1				
EML6				
ENPP6				
ENTHD2				
ENTPD6				
EPS8L3				
ERC2				
ESPN				
FAM198B				
FIG4				
FSCN3				
GBP6				
GCFC2				
GOLGA5				
GPSM2				
GSAP				
GUK1				
HHAT				
HRC				
IQCA1				
ITGB3				
ITPKC				
KIT				
KRT3				
KRT32				
KRT35				
KRT6C				
L1CAM				
LARP1				
LCMT2				
MAMDC2				
MDH1B				
MFN2				
MFSD9				
MICALCL				
MIOX				
MLKL				
MLTK				
MMP10				
MMP25				
MSR1				
NEIL3				
NEK5				
NUP107				
NYAP1				
OR4C46				
PABPC3				
PCDHB13				
PCDHB3				
PDE4C				
PES1				
PHKA1				
PIWIL4				
POLR3E				
RASAL3				
RBM28				
RFX1				
RRP8				
SCAF1				
SCARF1				
SDCCAG8				
SEC14L1				
SERPINA5				
SH2D3C				
SHROOM1				
SLC22A25				
SLC34A2				
SLC45A1				
SLC6A20				
SMARCA2				
SMOC2				
SPATA7				
SQSTM1				
TBCE				
TEK				
TICAM1				
TLR4				
TMEM44				
TMEM79				
TOP2A				
TSGA10				
TSNAXIP1				
TTC39B				
TTYH2				
TUBB1				
TXNRD1				
UBQLNL				
ZC3H11A				
ZFP28				
ZMYM4				
ZNF425				
ZNF658				
ZNF701				
ZSCAN5B				
ABCG2				
ACLY				
ACSM4				
ADD3				
AHRR				
ALPI				
ALPP				
ANAPC2				
ANKRD55				
APCDD1				
ASB10				
ATF6B				
BACH1				
BEST3				
C2orf78				
C7orf31				
CALHM1				
CBS				
CCDC14				
CCDC38				
CCDC9				
CCNB3				
CCT8L2				
CDCP1				
CDH19				
CEP63				
CERK				
CHI3L1				
CKAP2				
COLEC12				
CTAGE5				
CTSB				
CYP2C8				
CYP2S1				
DCBLD2				
DHRS2				
DHX8				
DIEXF				
DMKN				
DNM2				
DUSP13				
DYTN				
ECM2				
EIF2B5				
ENG				
ENTPD8				
ESRP2				
FAM194A				
FERMT1				
FGA				
FOXN1				
FSIP1				
GAL3ST4				
GALC				
GALNT6				
GANAB				
GAS2L3				
GPR108				
GPR152				
GPR155				
GTDC1				
HDAC6				
HGS				
HOOK1				
IFI44				
ILDR1				
INTS10				
IP6K3				
KCTD7				
KIF12				
KIF18A				
KIF23				
KRT7				
KRT9				
LRP3				
LRRIQ3				
MAPK7				
METTL25				
MMP20				
MMP9				
NAGPA				
NAPRT1				
NCOA7				
NFXL1				
NLRP3				
NOP9				
NOX3				
NPAS2				
NPAS3				
OAS1				
OC90				
ODF2L				
OTOP1				
OVGP1				
P2RX7				
PCDHB6				
PINK1				
PLA2G3				
PMEL				
POM121C				
POMGNT2				
POTEF				
PPFIA2				
PPP1R12C				
PRKAG3				
PSG11				
PTGFRN				
RFX2				
RNF103				
RSL1D1				
RSPH3				
SAP130				
SEC14L4				
SLC16A5				
SLC18B1				
SLC26A5				
SLC2A10				
SLC36A2				
SLFNL1				
SND1				
SOAT2				
TAF4B				
TAP2				
TARSL2				
TDRD5				
TERT				
TGFBR3				
TMPRSS7				
TNIP1				
TOP3B				
TOX2				
TRIM65				
UGT1A7				
USP33				
VPS53				
VWA7				
ZBTB38				
ZDHHC11				
ZNF215				
ZNF227				
ZNF337				
ZNF510				
ZNF555				
ZNF585B				
ALAS1				
ANO10				
AP2A2				
APOBEC3B				
ARHGEF19				
ARID4A				
ARSI				
ATG9A				
B4GALNT2				
BAZ1B				
BBS4				
BCAS3				
BCHE				
BRICD5				
C6orf118				
C7orf63				
CAMSAP3				
CASD1				
CATSPER2				
CBLB				
CCDC142				
CCDC155				
CD180				
CD5				
CDC14A				
CECR1				
CHD4				
CHEK2				
COASY				
COPG1				
CWH43				
CYP2W1				
DAAM1				
DCAF15				
DCAF5				
DCT				
DDHD2				
DLG2				
DNASE1				
DPYSL4				
DTNB				
EIF4ENIF1				
EPHA7				
EPS15				
F7				
FAM111B				
FAM47A				
FBXO41				
FDXACB1				
FGL1				
FOXK2				
FTO				
FUT10				
GALNT3				
GALNT8				
GGA1				
GLE1				
GPC5				
GRK7				
HAPLN3				
HCN4				
HDGFRP2				
HHIP				
HIST1H1T				
IFI16				
IGHG4				
IGSF8				
IKBIP				
IKBKE				
ITGA4				
KCNA10				
KCNQ1				
KIAA0319L				
KIF25				
KRT38				
LCTL				
LTBP3				
MDGA2				
METTL13				
MIER2				
MMP1				
MROH9				
MTHFR				
MTMR9				
NDST1				
NLRC4				
NOL11				
NPFFR2				
NUAK2				
OR52M1				
PDHX				
PDLIM5				
PDZD8				
PFKM				
PGM2				
POLR2M				
POTEE				
POU6F2				
PPP1R12A				
PRB2				
PRDM4				
PRR14				
PSG4				
PTPN22				
PVRL1				
PYROXD2				
RELT				
RGL2				
RNF168				
RTKN2				
SAMD3				
SART1				
SECISBP2L				
SEMA4C				
SEMA6C				
SLC28A2				
SLC41A3				
SPARCL1				
SPATA2				
SRRT				
TBC1D2B				
TBC1D5				
TEKT2				
THEMIS				
TMEM108				
TMTC1				
TRIM68				
TRIP4				
TSEN2				
UCKL1				
UGT1A9				
UGT2B10				
USP17L2				
UTP14C				
VRTN				
WDR75				
WRAP73				
WSCD1				
ZEB1				
ZNF112				
ZNF16				
ZNF175				
ZNF180				
ZNF235				
ZNF433				
ZNF484				
ZNF578				
ZNF763				
ACAP3				
ACCS				
ADAMTS19				
AFP				
AGAP3				
AK8				
AKAP10				
ALDH8A1				
ARMC6				
ARPP21				
BCKDHA				
BTBD11				
C14orf39				
C16orf89				
C17orf74				
C2				
CCDC138				
CCDC87				
CDCA7L				
CDK10				
CEP78				
CHAMP1				
CHGB				
CHRNA10				
CLGN				
CNGA4				
CNTN1				
CPT2				
CYP4B1				
DENND5B				
DLGAP1				
DNAJC21				
DNER				
DPY19L3				
DYM				
EMR3				
ENOSF1				
EPHA5				
ESCO2				
F10				
FAM111A				
FIP1L1				
FNDC7				
GHR				
GHRHR				
GPATCH3				
GTF3C5				
HID1				
HMMR				
HSF1				
HSPA4				
HSPA6				
IGHE				
INPP4B				
KCNH7				
KDM3B				
KIAA0408				
KIF2C				
KIFC1				
KRT2				
KRT83				
L3MBTL2				
L3MBTL4				
LCA5				
LCA5L				
LINGO2				
LRP10				
MAGEC3				
MAPT				
MAST1				
MED15				
MLIP				
MLLT6				
MPL				
MSS51				
MTHFD1				
NHSL2				
NMRAL1				
NR1I2				
NSUN5				
OR4C15				
ORC3				
OXER1				
OXR1				
PABPC1L				
PARK2				
PGM1				
PIP5K1C				
PNPLA1				
PPARGC1A				
PRAMEF2				
PRDM7				
PRF1				
PTOV1				
PTPRR				
RABEP1				
RBM44				
RHOBTB2				
SAFB				
SAFB2				
SAG				
SAMD4A				
SCLT1				
SCNN1A				
SEMA3C				
SIGLEC12				
SIK2				
SLC10A2				
SLC26A2				
SLC26A7				
SLC27A6				
SLC47A2				
SLC6A5				
SLC8A1				
SNTB1				
SOAT1				
SOX30				
SPAG16				
SPATA5L1				
SSTR3				
SYTL5				
TAF15				
TBCK				
TCN1				
TCTE1				
TCTN2				
TESK2				
TEX10				
TGM5				
THRAP3				
TLR6				
TMC4				
TMC7				
TNIK				
TPCN1				
TRIM29				
TRIM6				
TTLL6				
TULP2				
USP2				
WHSC1L1				
ZCCHC2				
ZNF107				
ZNF224				
ZNF225				
ZNF266				
ZNF268				
ZNF30				
ZNF365				
ZNF57				
ZNF599				
ACTN4				
ADAT1				
AHR				
AKR1B15				
ALS2CR12				
ANGEL1				
ANO3				
AP3B2				
APBB2				
AREL1				
ARFGAP3				
ARNT2				
ASB16				
BACH2				
C17orf53				
CCDC13				
CCDC132				
CCDC61				
CCHCR1				
CD2AP				
CDK5RAP1				
CEP70				
CHSY1				
COMP				
CTIF				
CTSA				
CYP24A1				
DCP1B				
DDO				
DENND6B				
DMP1				
DPP6				
DUS1L				
EFS				
EPB41L1				
EPB41L5				
ERN1				
ESCO1				
EXOC2				
FAAH2				
FAM65B				
FAM73A				
FCRL4				
GAB2				
GALNT10				
GPAA1				
HACL1				
HECTD3				
HIRIP3				
HSD17B2				
ICAM3				
IGSF5				
INTS5				
KCNH2				
KLF11				
LAD1				
LARGE				
LARP4B				
LEPREL1				
LRRC43				
MAG				
MAP3K10				
MCMDC2				
MCOLN1				
MLYCD				
MST1				
MTMR10				
NASP				
NBR1				
NKD2				
NME8				
NOMO1				
NRP1				
OR4A5				
OR4C16				
OS9				
OSBPL10				
PARP12				
PCCA				
PCDHGA10				
PCOLCE2				
PDCD6IP				
PGBD5				
PHIP				
PIF1				
PIK3CD				
PKMYT1				
PMPCA				
PTCHD4				
PTPN7				
RAB3GAP1				
RASEF				
RCBTB2				
SCUBE3				
SLC12A5				
SLC24A4				
SLC26A10				
SLC4A4				
SLC6A7				
SLK				
STARD3				
STIM2				
SYMPK				
SYT8				
TAX1BP1				
TBATA				
TBL2				
TCP11L2				
THUMPD3				
TMPO				
TMPRSS11B				
TNFAIP3				
TNFRSF10A				
TP73				
TPP1				
TRDN				
TRIM17				
TRIM5				
TTC7B				
TYW1				
USP6NL				
WDR93				
ZC3H6				
ZFYVE20				
ZMIZ2				
ZNF234				
ZNF343				
ZNF442				
ZNF473				
ZNF606				
ZNF677				
ZNF683				
ZWILCH				
ACOXL				
ACSM3				
ADAR				
AGGF1				
ALLC				
ALOX12				
AMIGO3				
ANKFN1				
APOL1				
ARHGEF25				
ARMC9				
ASIC5				
ATAD2B				
ATG7				
BAI1				
BARD1				
BICD1				
C16orf96				
CALD1				
CAT				
CCDC82				
CCPG1				
CDH20				
CDH24				
CEL				
CFI				
CIRH1A				
COLGALT2				
CPA6				
CUZD1				
CYP4V2				
DDX20				
DDX42				
DDX56				
DECR2				
DGKI				
DLAT				
DOK2				
DTX2				
ENDOV				
EPN1				
ESF1				
EVI5				
FAM120B				
FAM171B				
FAM189A2				
FAM69B				
FANCC				
FGD3				
FLCN				
FLRT1				
FMO4				
GAL3ST2				
GALNT14				
GBP5				
GFAP				
GPR17				
GRK1				
HAGH				
HNF1A				
HSPA4L				
IL22RA1				
KCNC4				
KIAA1586				
KRT33A				
KRT80				
LEMD3				
LGALS3BP				
LIMK2				
LPCAT1				
LRCH3				
LRFN2				
LRIT2				
LRPAP1				
MAP4K3				
MARK3				
MOXD1				
MTHFSD				
NDC1				
NLRP10				
NMBR				
NOX4				
NT5C1B-RDH14				
NUBP2				
OFD1				
OGFOD3				
OGG1				
PCDH20				
PDLIM2				
PDZD3				
PIGT				
PIK3C3				
PLA2G7				
PLTP				
PNISR				
PPIL2				
PPP2R1B				
PRC1				
PROX2				
PRSS36				
PTH2R				
RABGAP1L				
RANBP6				
RASGRP2				
RBPJL				
ROR1				
RPS6KB2				
RPUSD3				
RSC1A1				
SCRN2				
SEMA3F				
SERPINA10				
SERPINF2				
SH2D4A				
SIAE				
SLC17A3				
SLC22A16				
SLC24A3				
SLC26A3				
SLC2A9				
SLCO4C1				
SMPDL3B				
SNTG2				
SPG20				
SRPR				
TAP1				
TH				
TMEM214				
TOM1				
TPP2				
TPTE2				
TRIM37				
TSPAN32				
TTC14				
TTK				
UFL1				
USP44				
USP47				
WDR34				
WFIKKN2				
WHAMM				
ZBTB49				
ZNF256				
ZNF596				
ZNF813				
ZNRF4				
ZP1				
ZSCAN32				
ABAT				
ABHD1				
ACD				
ADAMTS6				
ADC				
ADGB				
ALDH9A1				
AMDHD2				
ANXA7				
AP4M1				
APBA1				
C3orf17				
CAPS2				
CASP4				
CATSPER3				
CCDC11				
CCDC168				
CCDC174				
CCDC65				
CDC45				
CHIT1				
CHRNA6				
CHSY3				
CLPTM1L				
CNDP2				
COG2				
COPA				
CORO1B				
CPA4				
CTCFL				
CTSE				
CTSW				
CTTN				
CYP3A4				
DACT1				
DEPDC1				
DQX1				
DROSHA				
DUS2				
ECM1				
ECT2				
EHMT2				
ENTPD3				
ETAA1				
FAM193B				
FAM196A				
FAM71B				
FBXL6				
FCN2				
FGFR1				
FLAD1				
FMNL3				
FMO5				
FSHR				
FYB				
GBP4				
GTF2A1L				
HCFC1				
HDAC9				
IL1RL2				
INTS2				
IPO11				
IQCC				
IRF7				
ITPRIP				
KCNJ12				
KCNQ3				
KIAA0141				
KIAA1467				
KIAA2022				
KRT16				
KRT6A				
KSR1				
KY				
L1TD1				
LINGO4				
LRRC48				
LRRN1				
MAP7D1				
MARVELD2				
MGAT5B				
MON1B				
MUS81				
MUT				
MYBPH				
NCAPH				
NEIL2				
NFE2L3				
NOBOX				
NRROS				
NTN4				
NUP62				
NUP85				
OGFOD1				
OGFOD2				
OPRM1				
OTOP2				
OTUD7B				
OXA1L				
P4HA3				
PCDHAC2				
PCSK1				
PDE4B				
PHGDH				
PNLDC1				
PPP4R1				
PRIMPOL				
PRKCD				
PRSS57				
RAD17				
RASSF7				
RBM23				
RGS9				
SCARA5				
SCIN				
SDCCAG3				
SEL1L2				
SERAC1				
SERPIND1				
SERPINF1				
SHC4				
SLC17A4				
SLC19A1				
SLC25A24				
SLC2A4				
SLC37A1				
SLC45A2				
SLC9A9				
SNX14				
SOHLH1				
SPHK2				
STAT6				
SUMF2				
SUPT20H				
SV2C				
THAP9				
TINAG				
TMPRSS2				
TTLL13				
UBXN11				
UNC5A				
UNC93A				
USO1				
USP9X				
VASN				
VWDE				
WDPCP				
WRAP53				
YJEFN3				
ZBP1				
ZCWPW1				
ZNF408				
ZNF480				
ZNF543				
ZNF551				
ZNF770				
ZNF780A				
ZNF783				
ACAD9				
ACAP1				
ACCSL				
ACTBL2				
AGXT2				
ARHGAP25				
ARHGEF16				
ARSK				
ASB15				
ATG4D				
ATP6V1B1				
ATP8A1				
B3GNTL1				
BAG3				
BCL6				
C10orf118				
C11orf16				
C14orf166B				
C6ORF165				
CAGE1				
CARD8				
CATSPER4				
CCAR1				
CCDC30				
CCDC41				
CCDC7				
CD163				
CDH18				
CENPT				
CES1				
CETP				
CLUAP1				
COG3				
CPA5				
CPN2				
CPPED1				
CXXC11				
CYP2F1				
DAGLA				
DCLK3				
DCPS				
DDX21				
DHX36				
DPH1				
DPP4				
EFCAB4B				
EFCAB7				
EIF2AK1				
FANCB				
FASTKD3				
FZD6				
GALNT16				
GGA2				
GGT5				
GLP2R				
GRAMD4				
GRTP1				
HGSNAT				
HSPA12A				
HSPA1L				
HSPH1				
HUNK				
IL17RB				
IL7R				
INTS4				
KRIT1				
LARP4				
LRP5L				
LRRC14B				
MAP4K4				
MAP9				
ME1				
MED25				
MEPE				
MROH1				
MTSS1				
NDUFV1				
NELFA				
NGLY1				
NLN				
NPAS4				
NR4A1				
NUCB1				
OR6A2				
PAK4				
PCSK7				
PGBD2				
PHACTR4				
PHF20				
PHYKPL				
PIK3CB				
PLCB4				
PLIN5				
PLXDC1				
PODXL				
POLH				
PPFIA4				
PRAMEF1				
PRDM1				
PRPF8				
PRRC1				
PRRT3				
PRSS55				
PSRC1				
PTGES3L-AARSD1				
PTGS1				
PUM2				
PYHIN1				
RAP1GAP2				
RASGRP4				
RC3H1				
RFWD3				
RPS6KL1				
RPUSD1				
SCN2A				
SEMA3D				
SERINC2				
SERPINA1				
SIN3A				
SLC13A1				
SLC22A11				
SLC22A18				
SLC22A8				
SLC25A10				
SLC25A41				
SLC27A1				
SLC2A11				
SLC4A1AP				
SLC5A5				
SLC6A9				
SMARCC2				
SMO				
SNX25				
SPAG8				
SULF1				
SUSD5				
TBC1D22A				
TBC1D9				
TCF12				
TCN2				
THNSL2				
TMEM184A				
TNKS2				
TPRA1				
TRIM41				
URGCP				
USP1				
VRK2				
ZBTB39				
ZC3H12A				
ZFYVE1				
ZFYVE19				
ZMYM5				
ZNF169				
ZNF185				
ZNF419				
ZNF44				
ZNF513				
ZNF766				
ZNF836				
ABLIM1				
ADSL				
AIPL1				
ALDH18A1				
ALDH3A1				
AMOT				
ANKS1B				
ANO8				
ARHGAP19-SLIT1				
ARRDC1				
ARSF				
ASL				
ATG16L2				
AVPR1B				
BPIFB6				
BRD9				
BRINP3				
C19orf47				
CARF				
CARNS1				
CCDC102B				
CCDC62				
CCDC67				
CCIN				
CDC25B				
CDCP2				
CDH1				
CEP85L				
CHML				
CSAD				
CTNNA1				
DAB2				
DDX55				
DIAPH2				
DNAJA3				
DNAJC10				
DNMT3A				
DPYS				
ELTD1				
EML2				
ENO3				
EPHX1				
FAM189B				
FAM227B				
FBLN7				
FBXL13				
FBXO43				
FER				
FRMPD3				
GAN				
GIT1				
GLB1L				
GP1BA				
GPR107				
GSR				
GUF1				
HIPK1				
HIST1H1D				
HRG				
HSD3B7				
IGHA1				
IGHG2				
IGSF21				
IL17RE				
IRX6				
IVD				
KANSL1L				
KAZN				
KIRREL				
KPRP				
KRT36				
MED23				
MEIS3				
MEP1A				
METTL22				
MKRN3				
MMP27				
MPHOSPH10				
MTNR1B				
MYSM1				
NAALAD2				
NDST4				
NOB1				
NT5C1B				
NUFIP1				
OAS2				
OGDH				
PCCB				
PCDHGC4				
PDIA5				
PDS5B				
PGS1				
PJA2				
PRSS53				
PSG2				
PSTPIP1				
PTPN4				
PTPN5				
PUM1				
PYROXD1				
RAVER1				
RFX6				
RINT1				
RIPK3				
RNF20				
SF3B2				
SH2B1				
SHCBP1L				
SIRPB1				
SLC15A2				
SLC22A5				
SLC24A5				
SLC30A5				
SLC7A9				
SLITRK6				
SLTM				
SMC6				
SMEK2				
SNX31				
SNX32				
SPATA21				
SPATA6				
SRRM4				
STAT2				
SV2B				
SYNPO2L				
TAB1				
TAF5L				
TBC1D15				
TBCCD1				
TBRG4				
THSD1				
TJAP1				
TMEM104				
TMEM43				
TPRN				
TRIM28				
TRIM55				
TULP3				
UGT2B15				
UNC5CL				
UNKL				
UPB1				
USP16				
USP37				
ZNF17				
ZNF251				
ZNF280A				
ZNF445				
ZNF48				
ZNF486				
ZNF556				
ZNF7				
ZXDC				
